FID,FID_1,Id,Count_,Sum_pointi,cod_x,cod_y
00,5,6,25,325,-43.625,-2.875
01,14,15,3,81,-43.625,-3.125
02,22,23,9,297,-43.875,-3.375
03,25,26,30,1935,-43.125,-3.375
04,34,35,100,14150,-43.125,-3.625
05,35,36,100,21750,-42.875,-3.625
06,37,38,1,369,-44.375,-3.875
07,38,39,13,4608,-44.125,-3.875
08,39,40,5,1633,-43.875,-3.875
09,41,42,7,2285,-43.375,-3.875
10,42,43,9,3222,-43.125,-3.875
11,43,44,41,12300,-42.875,-3.875
12,44,45,37,14504,-44.625,-4.125
13,45,46,15,7045,-44.375,-4.125
14,46,47,68,30471,-44.125,-4.125
15,51,52,50,25925,-42.875,-4.125
16,58,59,29,16184,-43.125,-4.375
17,59,60,6,3531,-42.875,-4.375
18,60,61,20,11690,-42.625,-4.375
19,72,73,10,6060,-42.875,-4.625
20,73,74,2,1377,-45.375,-4.875
21,83,84,62,40396,-42.875,-4.875
22,84,85,5,3422,-42.625,-4.875
23,86,87,17,12056,-45.375,-5.125
24,89,90,9,6763,-44.625,-5.125
25,90,91,2,1509,-44.375,-5.125
26,96,97,18,12689,-42.875,-5.125
27,97,98,22,16181,-42.625,-5.125
28,98,99,2,1537,-48.125,-5.375
29,102,103,2,1541,-46.875,-5.375
30,104,105,4,3274,-45.875,-5.375
31,106,107,7,5327,-45.375,-5.375
32,110,111,2,1533,-44.375,-5.375
33,112,113,43,34099,-43.875,-5.375
34,116,117,19,15818,-47.875,-5.625
35,120,121,5,4240,-46.875,-5.625
36,121,122,16,15435,-46.625,-5.625
37,123,124,51,44710,-46.125,-5.625
38,125,126,6,5847,-45.625,-5.625
39,133,134,4,3813,-43.625,-5.625
40,134,135,74,69387,-43.375,-5.625
41,136,137,1,1091,-47.875,-5.875
42,143,144,60,62851,-46.125,-5.875
43,144,145,11,11696,-45.875,-5.875
44,149,150,22,22545,-44.625,-5.875
45,163,164,10,10965,-46.125,-6.125
46,182,183,28,31234,-46.125,-6.375
47,188,189,16,19848,-44.625,-6.375
48,190,191,103,121643,-44.125,-6.375
49,202,203,1,1640,-46.125,-6.625
50,203,204,501,859560,-45.875,-6.625
51,204,205,5,10105,-45.625,-6.625
52,208,209,162,238340,-44.625,-6.625
53,209,210,55,89157,-44.375,-6.625
54,210,211,53,78499,-44.125,-6.625
55,211,212,8,10884,-43.875,-6.625
56,214,215,23,141306,-48.375,-6.875
57,222,223,85,557281,-46.125,-6.875
58,223,224,1262,3760304,-45.875,-6.875
59,224,225,785,2897562,-45.625,-6.875
60,225,226,1283,6991344,-45.375,-6.875
61,226,227,263,1643113,-45.125,-6.875
62,228,229,879,4096726,-44.625,-6.875
63,229,230,70,257201,-44.375,-6.875
64,230,231,11,73766,-44.125,-6.875
65,232,233,25,89718,-43.625,-6.875
66,234,235,43,301803,-48.375,-7.125
67,242,243,4,29621,-46.375,-7.125
68,243,244,36,254775,-46.125,-7.125
69,244,245,860,6228573,-45.875,-7.125
70,247,248,30,222115,-45.125,-7.125
71,248,249,5,36920,-44.875,-7.125
72,249,250,26,192396,-44.625,-7.125
73,250,251,6,44788,-44.375,-7.125
74,253,254,11,80870,-43.625,-7.125
75,257,258,5,46894,-47.375,-7.375
76,260,261,5,59832,-46.625,-7.375
77,261,262,2097,20798309,-46.375,-7.375
78,262,263,104,1151059,-46.125,-7.375
79,263,264,455,3707706,-45.875,-7.375
80,264,265,72,867211,-45.625,-7.375
81,265,266,335,3658739,-45.375,-7.375
82,266,267,30,284665,-45.125,-7.375
83,267,268,57,683678,-44.875,-7.375
84,268,269,200,1814098,-44.625,-7.375
85,269,270,959,10152647,-44.375,-7.375
86,270,271,460,5286755,-44.125,-7.375
87,273,274,4,70180,-48.625,-7.625
88,277,278,1,13873,-47.375,-7.625
89,280,281,16,205255,-46.625,-7.625
90,281,282,950,14614303,-46.375,-7.625
91,282,283,68,996746,-46.125,-7.625
92,283,284,628,9832970,-45.875,-7.625
93,284,285,1100,16832387,-45.625,-7.625
94,285,286,540,8493543,-45.375,-7.625
95,286,287,610,9793293,-45.125,-7.625
96,287,288,1126,15755447,-44.875,-7.625
97,289,290,78,1323697,-44.375,-7.625
98,290,291,262,4062162,-44.125,-7.625
99,294,295,9,182064,-48.625,-7.875
100,295,296,4,79247,-48.375,-7.875
101,300,301,51,969977,-47.125,-7.875
102,301,302,275,5601840,-46.875,-7.875
103,302,303,71,1393200,-46.625,-7.875
104,303,304,978,18837505,-46.375,-7.875
