FID,Join_Count,TARGET_FID,pointid,FID0,cod_x,cod_y
0,2,1,1,0,-43.625,-2.625
1,10,6,3,5,-43.625,-2.875
2,6,7,13,6,-43.375,-2.875
3,6,15,24,14,-43.625,-3.125
4,154,26,134,25,-43.125,-3.375
5,15,28,30,27,-42.625,-3.375
6,13,31,1296,30,-44.125,-3.625
7,63,34,300,33,-43.375,-3.625
8,521,35,520,34,-43.125,-3.625
9,605,36,353,35,-42.875,-3.625
10,48,37,288,36,-42.625,-3.625
11,114,38,2359,37,-44.375,-3.875
12,149,39,1897,38,-44.125,-3.875
13,1,40,1917,39,-43.875,-3.875
14,468,43,1587,42,-43.125,-3.875
15,632,44,1538,43,-42.875,-3.875
16,115,45,2982,44,-44.625,-4.125
17,75,46,2994,45,-44.375,-4.125
18,37,47,3105,46,-44.125,-4.125
19,25,50,3209,49,-43.375,-4.125
20,8,56,3267,55,-43.875,-4.375
21,54,59,3234,58,-43.125,-4.375
22,32,60,3241,59,-42.875,-4.375
23,7,69,3342,68,-43.875,-4.625
24,4,72,3338,71,-43.125,-4.625
25,48,73,3349,72,-42.875,-4.625
26,15,77,3454,76,-44.625,-4.875
27,14,79,3461,78,-44.125,-4.875
28,8,80,3412,79,-43.875,-4.875
29,41,84,3397,83,-42.875,-4.875
30,8,85,3442,84,-42.625,-4.875
31,6,87,3498,86,-45.375,-5.125
32,20,90,3518,89,-44.625,-5.125
33,42,91,3559,90,-44.375,-5.125
34,31,97,3483,96,-42.875,-5.125
35,31,98,3531,97,-42.625,-5.125
36,7,103,3618,102,-46.875,-5.375
37,5,104,3694,103,-46.625,-5.375
38,26,105,3798,104,-45.875,-5.375
39,2,107,3718,106,-45.375,-5.375
40,11,108,3769,107,-45.125,-5.375
41,35,109,3730,108,-44.875,-5.375
42,49,110,3613,109,-44.625,-5.375
43,97,111,3622,110,-44.375,-5.375
44,59,113,3699,112,-43.875,-5.375
45,8,114,3734,113,-43.625,-5.375
46,5,122,4757,121,-46.625,-5.625
47,31,124,3935,123,-46.125,-5.625
48,40,125,4560,124,-45.875,-5.625
49,24,129,3928,128,-44.875,-5.625
50,76,130,4023,129,-44.625,-5.625
51,3,131,4819,130,-44.375,-5.625
52,63,133,4564,132,-43.875,-5.625
53,96,134,3942,133,-43.625,-5.625
54,596,135,4037,134,-43.375,-5.625
55,10,143,5034,142,-46.375,-5.875
56,90,144,5039,143,-46.125,-5.875
57,3,145,5073,144,-45.875,-5.875
58,86,150,4924,149,-44.625,-5.875
59,10,151,4912,150,-44.375,-5.875
60,156,152,4875,151,-44.125,-5.875
61,27,153,5109,152,-43.875,-5.875
62,10,154,5250,153,-43.625,-5.875
63,4,155,4871,154,-43.375,-5.875
64,22,171,5278,170,-44.375,-6.125
65,11,172,5267,171,-44.125,-6.125
66,4,173,5300,172,-43.875,-6.125
67,19,183,5304,182,-46.125,-6.375
68,117,189,5367,188,-44.625,-6.375
69,44,191,5323,190,-44.125,-6.375
70,60,196,5708,195,-47.875,-6.625
71,474,204,5592,203,-45.875,-6.625
72,3,205,6374,204,-45.625,-6.625
73,202,209,5484,208,-44.625,-6.625
74,37,210,5693,209,-44.375,-6.625
75,108,211,5695,210,-44.125,-6.625
76,76,215,6651,214,-48.375,-6.875
77,163,216,6383,215,-47.875,-6.875
78,16,217,6833,216,-47.625,-6.875
79,8,218,7652,217,-47.375,-6.875
80,106,223,8132,222,-46.125,-6.875
81,1112,224,6396,223,-45.875,-6.875
82,878,225,6413,224,-45.625,-6.875
83,1551,226,7443,225,-45.375,-6.875
84,532,227,10862,226,-45.125,-6.875
85,67,228,9964,227,-44.875,-6.875
86,1289,229,6419,228,-44.625,-6.875
87,105,230,6923,229,-44.375,-6.875
88,4,231,12242,230,-44.125,-6.875
89,27,232,12276,231,-43.875,-6.875
90,8,233,8302,232,-43.625,-6.875
91,63,235,12348,234,-48.375,-7.125
92,24,237,12589,236,-47.875,-7.125
93,211,243,12980,242,-46.375,-7.125
94,38,244,12500,243,-46.125,-7.125
95,1003,245,12327,244,-45.875,-7.125
96,7,246,12748,245,-45.625,-7.125
97,7,247,13653,246,-45.375,-7.125
98,98,248,13028,247,-45.125,-7.125
99,52,249,12474,248,-44.875,-7.125
100,19,250,13003,249,-44.625,-7.125
101,9,251,13800,250,-44.375,-7.125
102,13,254,13015,253,-43.625,-7.125
103,2,260,19985,259,-46.875,-7.375
104,1628,262,14139,261,-46.375,-7.375
105,56,263,15998,262,-46.125,-7.375
106,297,264,13884,263,-45.875,-7.375
107,131,265,16782,264,-45.625,-7.375
108,755,266,15325,265,-45.375,-7.375
109,3,267,15935,266,-45.125,-7.375
110,62,268,19029,267,-44.875,-7.375
111,570,269,14373,268,-44.625,-7.375
112,1645,270,13905,269,-44.375,-7.375
113,1084,271,14084,270,-44.125,-7.375
114,2,280,22281,279,-46.875,-7.625
115,39,281,20271,280,-46.625,-7.625
116,1191,282,20177,281,-46.375,-7.625
117,29,283,20926,282,-46.125,-7.625
118,498,284,21537,283,-45.875,-7.625
119,1849,285,20196,284,-45.625,-7.625
120,587,286,20212,285,-45.375,-7.625
121,533,287,21565,286,-45.125,-7.625
122,1147,288,20221,287,-44.875,-7.625
123,120,289,20227,288,-44.625,-7.625
