FID,Join_Count,TARGET_FID,FID_1,cod_x,cod_y
0,6,15,14,-43.625,-3.125
1,5,16,15,-43.375,-3.125
2,46,17,16,-43.125,-3.125
3,31,24,23,-43.625,-3.375
4,53,25,24,-43.375,-3.375
5,144,26,25,-43.125,-3.375
6,18,27,26,-42.875,-3.375
7,76,28,27,-42.625,-3.375
8,22,33,32,-43.625,-3.625
9,107,34,33,-43.375,-3.625
10,764,35,34,-43.125,-3.625
11,1237,36,35,-42.875,-3.625
12,79,37,36,-42.625,-3.625
13,6,38,37,-44.375,-3.875
14,1,39,38,-44.125,-3.875
15,351,43,42,-43.125,-3.875
16,539,44,43,-42.875,-3.875
17,26,45,44,-44.625,-4.125
18,18,46,45,-44.375,-4.125
19,90,50,49,-43.375,-4.125
20,22,52,51,-42.875,-4.125
21,5,57,56,-43.625,-4.375
22,5,58,57,-43.375,-4.375
23,27,59,58,-43.125,-4.375
24,10,60,59,-42.875,-4.375
25,69,72,71,-43.125,-4.625
26,9,81,80,-43.625,-4.875
27,23,84,83,-42.875,-4.875
28,38,85,84,-42.625,-4.875
29,6,90,89,-44.625,-5.125
30,4,107,106,-45.375,-5.375
31,1,114,113,-43.625,-5.375
32,94,124,123,-46.125,-5.625
33,71,125,124,-45.875,-5.625
34,43,126,125,-45.625,-5.625
35,21,130,129,-44.625,-5.625
36,6,131,130,-44.375,-5.625
37,42,134,133,-43.625,-5.625
38,14,143,142,-46.375,-5.875
39,90,144,143,-46.125,-5.875
40,9,145,144,-45.875,-5.875
41,10,150,149,-44.625,-5.875
42,40,151,150,-44.375,-5.875
43,129,152,151,-44.125,-5.875
44,70,154,153,-43.625,-5.875
45,2,155,154,-43.375,-5.875
46,44,171,170,-44.375,-6.125
47,29,172,171,-44.125,-6.125
48,107,186,185,-45.375,-6.375
49,207,189,188,-44.625,-6.375
50,110,191,190,-44.125,-6.375
51,179,196,195,-47.875,-6.625
52,99,204,203,-45.875,-6.625
53,6,205,204,-45.625,-6.625
54,10,207,206,-45.125,-6.625
55,7,208,207,-44.875,-6.625
56,251,209,208,-44.625,-6.625
57,77,210,209,-44.375,-6.625
58,319,211,210,-44.125,-6.625
